codigo_municipio_ibge,municipio,idhm
2102903,CARUTAPERA,0.574
2103000,CAXIAS,0.624
2103109,CEDRAL,0.605
2103125,CENTRAL DO MARANHÃO,0.585
2103158,CENTRO DO GUILHERME,0.542
2103174,CENTRO NOVO DO MARANHÃO,0.518
2103208,CHAPADINHA,0.604
2103257,CIDELÂNDIA,0.6
2103307,CODÓ,0.595
2103406,COELHO NETO,0.564
2103505,COLINAS,0.596
2103554,CONCEIÇÃO DO LAGO-AÇU,0.512
2103604,COROATÁ,0.576
2103703,CURURUPU,0.612
2103752,DAVINÓPOLIS,0.607
2103802,DOM PEDRO,0.622
2103901,DUQUE BACELAR,0.533
2104008,ESPERANTINÓPOLIS,0.586
2104057,ESTREITO,0.659
2104073,FEIRA NOVA DO MARANHÃO,0.532
2104081,FERNANDO FALCÃO,0.443
2104099,FORMOSA DA SERRA NEGRA,0.556
2104107,FORTALEZA DOS NOGUEIRAS,0.616
2104206,FORTUNA,0.58
2104305,GODOFREDO VIANA,0.604
2104404,GONÇALVES DIAS,0.568
2104503,GOVERNADOR ARCHER,0.565
2104552,GOVERNADOR EDISON LOBÃO,0.629
2104602,GOVERNADOR EUGÊNIO BARROS,0.572
2104628,GOVERNADOR LUIZ ROCHA,0.544
2104651,GOVERNADOR NEWTON BELLO,0.521
2104677,GOVERNADOR NUNES FREIRE,0.569
2104701,GRAÇA ARANHA,0.57
2104800,GRAJAÚ,0.609
2104909,GUIMARÃES,0.625
2105005,HUMBERTO DE CAMPOS,0.535
2105104,ICATU,0.546
2105153,IGARAPÉ DO MEIO,0.569
2105203,IGARAPÉ GRANDE,0.614
2105302,IMPERATRIZ,0.731
2105351,ITAIPAVA DO GRAJAÚ,0.518
2105401,ITAPECURU MIRIM,0.599
2105427,ITINGA DO MARANHÃO,0.63
2105450,JATOBÁ,0.561
2105476,JENIPAPO DOS VIEIRAS,0.49
2105500,JOÃO LISBOA,0.641
2105609,JOSELÂNDIA,0.561
2105658,JUNCO DO MARANHÃO,0.552
2105708,LAGO DA PEDRA,0.589
2105807,LAGO DO JUNCO,0.581
2105906,LAGO VERDE,0.557
2105922,LAGOA DO MATO,0.566
2105948,LAGO DOS RODRIGUES,0.602
2105963,LAGOA GRANDE DO MARANHÃO,0.502
2105989,LAJEADO NOVO,0.589
2106003,LIMA CAMPOS,0.581
2106102,LORETO,0.582
2106201,LUÍS DOMINGUES,0.588
2106300,MAGALHÃES DE ALMEIDA,0.567
2106326,MARACAÇUMÉ,0.582
2106359,MARAJÁ DO SENA,0.452
2106375,MARANHÃOZINHO,0.55
2106409,MATA ROMA,0.57
2106508,MATINHA,0.619
2106607,MATÕES,0.55
2106631,MATÕES DO NORTE,0.533
2106672,MILAGRES DO MARANHÃO,0.527
2106706,MIRADOR,0.545
2106755,MIRANDA DO NORTE,0.61
2106805,MIRINZAL,0.622
2106904,MONÇÃO,0.546
2107001,MONTES ALTOS,0.575
2107100,MORROS,0.548
2107209,NINA RODRIGUES,0.585
2107258,NOVA COLINAS,0.566
2107308,NOVA IORQUE,0.584
2107357,NOVA OLINDA DO MARANHÃO,0.581
2107407,OLHO D'ÁGUA DAS CUNHÃS,0.589
2107456,OLINDA NOVA DO MARANHÃO,0.575
2107506,PAÇO DO LUMIAR,0.724
2107605,PALMEIRÂNDIA,0.556
2107704,PARAIBANO,0.58
2107803,PARNARAMA,0.542
2107902,PASSAGEM FRANCA,0.532
2108009,PASTOS BONS,0.61
2108058,PAULINO NEVES,0.561
2108108,PAULO RAMOS,0.549
2108207,PEDREIRAS,0.682
2108256,PEDRO DO ROSÁRIO,0.516
2108306,PENALVA,0.554
2108405,PERI MIRIM,0.599
2108454,PERITORÓ,0.564
2108504,PINDARÉ-MIRIM,0.633
2108603,PINHEIRO,0.637
2108702,PIO XII,0.541
2108801,PIRAPEMAS,0.576
2108900,POÇÃO DE PEDRAS,0.576
2109007,PORTO FRANCO,0.684
2109056,PORTO RICO DO MARANHÃO,0.615
2109106,PRESIDENTE DUTRA,0.653
2109205,PRESIDENTE JUSCELINO,0.563
2109239,PRESIDENTE MÉDICI,0.591
2109270,PRESIDENTE SARNEY,0.557
2109304,PRESIDENTE VARGAS,0.587
2109403,PRIMEIRA CRUZ,0.512
2109452,RAPOSA,0.626
2109502,RIACHÃO,0.576
2109551,RIBAMAR FIQUENE,0.615
2109601,ROSÁRIO,0.632
2109700,SAMBAÍBA,0.565
2109759,SANTA FILOMENA DO MARANHÃO,0.525
2109809,SANTA HELENA,0.571
2109908,SANTA INÊS,0.674
2110005,SANTA LUZIA,0.55
2110039,SANTA LUZIA DO PARUÁ,0.599
2110104,SANTA QUITÉRIA DO MARANHÃO,0.555
2110203,SANTA RITA,0.609
2110237,SANTANA DO MARANHÃO,0.51
2110278,SANTO AMARO DO MARANHÃO,0.518
2110302,SANTO ANTÔNIO DOS LOPES,0.566
2110401,SÃO BENEDITO DO RIO PRETO,0.541
2110500,SÃO BENTO,0.602
2110609,SÃO BERNARDO,0.572
2110658,SÃO DOMINGOS DO AZEITÃO,0.59
2110708,SÃO DOMINGOS DO MARANHÃO,0.582
2110807,SÃO FÉLIX DE BALSAS,0.557
2110856,SÃO FRANCISCO DO BREJÃO,0.584
2110906,SÃO FRANCISCO DO MARANHÃO,0.528
2111003,SÃO JOÃO BATISTA,0.598
2111029,SÃO JOÃO DO CARÚ,0.509
2111052,SÃO JOÃO DO PARAÍSO,0.609
2111078,SÃO JOÃO DO SOTER,0.517
2111102,SÃO JOÃO DOS PATOS,0.615
2111201,SÃO JOSÉ DE RIBAMAR,0.708
2111250,SÃO JOSÉ DOS BASÍLIOS,0.557
2111300,SÃO LUÍS,0.768
2111409,SÃO LUÍS GONZAGA DO MARANHÃO,0.54
2111508,SÃO MATEUS DO MARANHÃO,0.616
2111532,SÃO PEDRO DA ÁGUA BRANCA,0.605
2111573,SÃO PEDRO DOS CRENTES,0.6
2111607,SÃO RAIMUNDO DAS MANGABEIRAS,0.61
2111631,SÃO RAIMUNDO DO DOCA BEZERRA,0.516
2111672,SÃO ROBERTO,0.516
2111706,SÃO VICENTE FERRER,0.592
2111722,SATUBINHA,0.493
2111748,SENADOR ALEXANDRE COSTA,0.538
2111763,SENADOR LA ROCQUE,0.602
2111789,SERRANO DO MARANHÃO,0.519
2111805,SÍTIO NOVO,0.564
2111904,SUCUPIRA DO NORTE,0.579
2111953,SUCUPIRA DO RIACHÃO,0.568
2112001,TASSO FRAGOSO,0.599
2112100,TIMBIRAS,0.537
2112209,TIMON,0.649
2112233,TRIZIDELA DO VALE,0.606
2112274,TUFILÂNDIA,0.555
2112308,TUNTUM,0.572
2112407,TURIAÇU,0.561
2112456,TURILÂNDIA,0.536
2112506,TUTÓIA,0.561
2112605,URBANO SANTOS,0.588
2112704,VARGEM GRANDE,0.542
2112803,VIANA,0.618
2112852,VILA NOVA DOS MARTÍRIOS,0.581
2112902,VITÓRIA DO MEARIM,0.596
2113009,VITORINO FREIRE,0.57
2114007,ZÉ DOCA,0.595
2200053,ACAUÃ,0.528
2200103,AGRICOLÂNDIA,0.599
2200202,ÁGUA BRANCA,0.639
2200251,ALAGOINHA DO PIAUÍ,0.531
2200277,ALEGRETE DO PIAUÍ,0.585
2200301,ALTO LONGÁ,0.585
2200400,ALTOS,0.614
2200459,ALVORADA DO GURGUÉIA,0.578
2200509,AMARANTE,0.598
2200608,ANGICAL DO PIAUÍ,0.63
2200707,ANÍSIO DE ABREU,0.594
2200806,ANTÔNIO ALMEIDA,0.62
2200905,AROAZES,0.583
2200954,AROEIRAS DO ITAIM,0.519
2201002,ARRAIAL,0.56
2201051,ASSUNÇÃO DO PIAUÍ,0.499
2201101,AVELINO LOPES,0.554
2201150,BAIXA GRANDE DO RIBEIRO,0.564
2201176,BARRA D'ALCÂNTARA,0.577
2201200,BARRAS,0.595
2201309,BARREIRAS DO PIAUÍ,0.557
2201408,BARRO DURO,0.612
2201507,BATALHA,0.545
2201556,BELA VISTA DO PIAUÍ,0.576
2201572,BELÉM DO PIAUÍ,0.551
2201606,BENEDITINOS,0.557
2201705,BERTOLÍNIA,0.612
2201739,BETÂNIA DO PIAUÍ,0.489
2201770,BOA HORA,0.575
2201804,BOCAINA,0.632
2201903,BOM JESUS,0.668
2201919,BOM PRINCÍPIO DO PIAUÍ,0.532
2201929,BONFIM DO PIAUÍ,0.542
